Date,Category,Description,Amount,Person
2024-07-01,Groceries,Weekly grocery shopping,156.32,Combined
2024-07-01,Transportation,Gas for car,45.00,Jim
2024-07-02,Dining Out,Lunch at cafe,28.50,Pam
2024-07-02,Entertainment,Movie tickets,32.00,Combined
2024-07-03,Utilities,Electric bill,142.85,Combined
2024-07-03,Groceries,Farmers market,42.15,Pam
2024-07-04,Dining Out,Fourth of July BBQ supplies,87.50,Combined
2024-07-05,Transportation,Metro pass,95.00,Pam
2024-07-05,Healthcare,Prescription refill,25.00,Jim
2024-07-06,Groceries,Quick grocery run,34.20,Jim
2024-07-07,Entertainment,Concert tickets,120.00,Combined
2024-07-07,Dining Out,Pizza delivery,42.75,Combined
2024-07-08,Groceries,Weekly shopping,168.90,Combined
2024-07-08,Transportation,Gas,48.00,Jim
2024-07-09,Utilities,Internet bill,79.99,Combined
2024-07-10,Dining Out,Brunch,65.30,Combined
2024-07-10,Healthcare,Dental cleaning,150.00,Pam
2024-07-11,Groceries,Snacks and drinks,28.45,Jim
2024-07-12,Entertainment,Streaming service,15.99,Combined
2024-07-12,Transportation,Uber ride,22.50,Pam
2024-07-13,Dining Out,Thai takeout,54.80,Combined
2024-07-14,Groceries,Weekly shopping,145.60,Combined
2024-07-14,Healthcare,Vitamins,32.00,Pam
2024-07-15,Transportation,Gas,46.50,Jim
2024-07-15,Groceries,Bakery items,18.75,Pam
2024-07-16,Dining Out,Coffee shop,12.40,Jim
2024-07-16,Entertainment,Mini golf,38.00,Combined
2024-07-17,Utilities,Water bill,58.20,Combined
2024-07-18,Groceries,Meat and seafood,76.30,Combined
2024-07-18,Transportation,Car wash,25.00,Jim
2024-07-19,Dining Out,Italian restaurant,98.50,Combined
2024-07-20,Healthcare,Doctor copay,35.00,Jim
2024-07-21,Groceries,Weekly shopping,152.40,Combined
2024-07-21,Entertainment,Board games,45.99,Combined
2024-07-22,Transportation,Gas,44.00,Jim
2024-07-22,Dining Out,Sandwich shop,24.60,Pam
2024-07-23,Groceries,Fresh produce,31.85,Pam
2024-07-24,Utilities,Gas bill,92.40,Combined
2024-07-24,Dining Out,Sushi dinner,112.75,Combined
2024-07-25,Healthcare,Contact lenses,180.00,Pam
2024-07-26,Groceries,Weekly shopping,159.20,Combined
2024-07-26,Transportation,Oil change,65.00,Jim
2024-07-27,Entertainment,Zoo tickets,56.00,Combined
2024-07-27,Dining Out,Food truck,18.50,Jim
2024-07-28,Groceries,Dairy products,28.90,Combined
2024-07-29,Transportation,Gas,47.50,Jim
2024-07-29,Dining Out,Breakfast diner,36.80,Combined
2024-07-30,Healthcare,Pharmacy items,42.60,Pam
2024-07-30,Groceries,Snack run,22.35,Jim
2024-07-31,Utilities,Electric bill,155.30,Combined
2024-07-31,Dining Out,Mexican restaurant,76.40,Combined
